id	commune_name	rate
1	Beaufort	0.02572347266881029
2	Bech	0.02358058608058608
3	Beckerich	0.026222222222222223
4	Berdorf	0.0288637194008038
5	Bertrange	0.0224351529229578
6	Bettembourg	0.021724679428510873
7	Bettendorf	0.03850385038503851
8	Betzdorf	0.023201251303441084
9	Bissen	0.027821577490451662
10	Biwer	0.027052681537731372
11	Boevange-sur-Attert	0.0392156862745098
12	Boulaide	0.04282210903603094
13	Bourscheid	0.028817587641117054
14	Bous	0.03288543140028288
15	Clervaux	0.033641317223406776
16	Colmar-Berg	0.023583245336149243
17	Consdorf	0.025070464322800773
18	Contern	0.02398589065255732
19	Dalheim	0.0375
20	Diekirch	0.02291346646185356
21	Differdange	0.025018765517639586
22	Dippach	0.0242053343076361
23	Dudelange	0.022634603023507994
24	Echternach	0.014611934212314803
25	Ell	0.022335794056407343
26	Erpeldange	0.019524316648917288
27	Esch-sur-Alzette	0.026619169883185117
28	Esch-sur-Sûre	0.03526893727898753
29	Eschweiler	0.03375527426160337
30	Ettelbruck	0.031770725299038925
31	Feulen	0.0255863539445629
32	Fischbach	0.025707384403036576
33	Flaxweiler	0.030622418458908986
34	Frisange	0.023510466988727857
35	Garnich	0.020314281061716333
36	Goesdorf	0.025781965711294333
37	Grevenmacher	0.01915949933571079
38	Grosbous	0.024784709094728
39	Heffingen	0.03357963875205255
40	Hesperange	0.01971718965309954
41	Hobscheid	0.03186833346437089
42	Junglinster	0.029432013769363167
43	Kayl	0.03285102962385039
44	Kehlen	0.019302152932442463
45	Kiischpelt	0.06099456099456099
46	Koerich	0.02208710303651881
47	Kopstal	0.02147280111858313
48	Käerjeng	0.02546961143573999
49	Lac de la Haute-Sûre	0.03481163567000477
50	Larochette	0.03303007950168019
51	Lenningen	0.031462585034013606
52	Leudelange	0.01791411986314535
53	Lintgen	0.02944809723052401
54	Lorentzweiler	0.027198879551820727
55	Luxembourg	0.023182905044380524
56	Mamer	0.017964644051600573
57	Manternach	0.013041523010043472
58	Mersch	0.023545188451768468
59	Mertert	0.016216216216216217
60	Mertzig	0.04090543490750316
61	Mompach	0.03179650238473768
62	Mondercange	0.023755801582940717
63	Mondorf-les-Bains	0.018330241187384043
64	Niederanven	0.02307273057590989
65	Nommern	0.017525983289178725
66	Parc Hosingen	0.03191896024464832
67	Préizerdaul	0.03621581670362158
68	Putscheid	0.032441200324412
69	Pétange	0.03581856725730971
70	Rambrouch	0.033972821742605915
71	Reckange-sur-Mess	0.023845108695652175
72	Redange/Attert	0.028532824670163725
73	Reisdorf	0.039763690070438534
74	Remich	0.03050397877984085
75	Roeser	0.01686546107477235
76	Rosport	0.02419730107026524
77	Rumelange	0.033670517266142765
78	Saeul	0.030008110300081103
79	Sandweiler	0.017247302961588676
80	Sanem	0.026361460542882745
81	Schengen	0.025154457193292144
82	Schieren	0.04193138500635324
83	Schifflange	0.024103991803193857
84	Schuttrange	0.022587268993839837
85	Septfontaines	0.025999563032554074
86	Stadtbredimus	0.016937553464499572
87	Steinfort	0.023441934385287775
88	Steinsel	0.024220578005438562
89	Strassen	0.01615508885298869
90	Tandel	0.012309368191721133
91	Troisvierges	0.0275657336726039
92	Tuntange	0.0258272800645682
93	Useldange	0.02312925170068027
94	Vallée de l'Ernz	0.026293469041560644
95	Vianden	0.020039100684261974
96	Vichten	0.03094963475586313
97	Wahl	0.02248162559446606
98	Waldbillig	0.028642149929278642
99	Waldbredimus	0.02488118535085267
100	Walferdange	0.02152891808064222
101	Weiler-la-Tour	0.025553894250373795
102	Weiswampach	0.032594733461785486
103	Wiltz	0.024645168953025712
104	Wincrange	0.030259227136937458
105	Winseler	0.01990049751243781
106	Wormeldange	0.02057710501419111
